id;question_code;question_text;question_type
1;quantify;compress Junctions;DATE
2;foreground toolset withdrawal;enable;NUMBER
3;Wall Dynamic neural;Automotive mint red;MULTIPLE_RESPONSE
4;regional;Communications;MULTIPLE_RESPONSE
5;multi-tasking gold;Minnesota Frozen content;NUMBER
6;Chicken primary Centralized;Functionality;NUMBER
7;Rubber Optimization;synthesize;MULTIPLE_RESPONSE
8;group e-enable Account;Account Soft;UNIQUE_RESPONSE
9;quantifying;salmon Programmable;TEXT
10;Directives compress haptic;Designer;MULTIPLE_RESPONSE
